# height (km)	distance (km)
4053.1	49.7
# azi	zh	zdr	phidp	rhohv	vel
24.5	5.5	4.50	95.9	0.985	0.0
23.5	6.5	4.50	94.5	0.978	0.5
22.5	6.0	4.00	95.2	0.978	0.0
21.5	4.5	4.38	96.6	0.982	0.0
20.5	9.5	5.12	96.3	0.988	0.5
19.5	6.0	4.88	96.3	1.002	1.0
18.5	5.5	4.31	95.6	0.998	1.5
17.5	8.5	4.94	93.4	0.998	1.0
16.5	6.0	4.94	94.1	0.982	1.0
15.5	8.0	5.62	94.8	0.978	1.5
14.5	9.5	4.94	96.3	0.992	1.5
13.5	5.0	5.06	95.2	0.968	2.0
12.5	6.5	5.62	92.4	0.972	2.0
11.5	6.0	6.31	95.2	0.998	3.0
10.5	8.0	6.81	98.7	0.992	3.0
9.5	9.5	5.88	92.0	0.995	2.5
8.5	6.5	5.31	94.5	0.982	2.5
7.5	7.5	6.00	92.0	0.988	2.5
6.5	8.0	5.88	91.7	0.985	3.0
5.5	8.0	6.00	98.0	0.998	3.0
4.5	8.5	6.31	91.3	0.988	3.5
3.5	7.0	5.62	94.8	0.978	4.0
2.5	9.0	5.56	91.0	0.995	4.0
1.5	10.0	6.62	95.9	0.985	4.0
0.5	7.0	6.12	97.0	0.982	4.5
-0.5	10.0	5.69	92.7	0.992	4.5
-1.5	9.0	6.12	91.7	0.998	4.5
-2.5	10.5	6.25	91.0	0.992	5.0
-3.5	10.0	6.00	89.2	1.002	4.5
-4.5	8.0	6.81	89.6	0.995	4.5
-5.5	9.0	6.19	88.9	0.995	6.0
-6.5	10.0	6.12	91.7	0.998	5.5
-7.5	9.0	6.25	93.8	0.995	5.5
-8.5	11.5	6.31	92.7	0.998	6.0
-9.5	9.5	6.62	85.3	0.995	6.0
-10.5	4.0	6.06	90.3	0.975	6.5
-11.5	9.0	6.56	91.0	0.995	6.0
-12.5	8.5	6.44	88.5	0.995	6.5
-13.5	7.5	6.00	87.8	0.988	7.0
-14.5	7.5	6.38	91.7	0.982	7.5
-15.5	6.5	6.00	89.6	0.992	8.0
-16.5	6.5	6.38	90.3	1.005	7.0
-17.5	8.0	5.81	90.3	0.988	7.0
-18.5	9.5	6.00	93.4	0.995	7.0
-19.5	8.0	6.12	88.9	0.988	7.5
-20.5	5.0	6.12	95.2	0.975	7.5
-21.5	7.0	5.88	92.4	1.002	8.0
-22.5	9.0	5.69	91.0	0.995	8.0
-23.5	6.0	5.94	93.1	0.985	8.0
-24.5	7.0	6.00	90.3	0.988	8.5
-25.5	5.5	5.88	87.1	1.005	9.0
-26.5	5.5	5.62	89.6	0.985	8.5
-27.5	9.0	6.00	89.6	0.995	8.5
-28.5	6.0	6.44	91.3	0.998	8.0
-29.5	5.5	6.12	88.9	0.982	8.5
-30.5	8.0	5.94	85.7	0.985	9.0
-31.5	9.0	5.88	87.1	0.995	9.0
-32.5	3.0	6.12	88.1	0.962	9.0
-33.5	4.0	6.75	88.5	1.005	9.5
-34.5	5.5	6.06	82.5	0.972	10.0
-35.5	7.5	6.06	86.0	0.995	10.5
-36.5	5.0	5.50	87.4	0.998	10.0
-37.5	6.5	5.94	89.6	0.985	10.0
-38.5	3.5	6.00	87.1	1.002	10.0
-39.5	1.5	6.19	86.4	0.965	10.0
-40.5	6.5	6.06	88.1	0.982	10.0
-41.5	5.5	5.12	86.0	0.982	10.5
-42.5	6.0	6.12	86.0	0.972	10.0
-43.5	6.5	5.56	87.4	1.002	11.0
-44.5	6.5	5.94	82.5	0.982	11.0
-45.5	5.0	6.19	84.6	1.008	10.5
-46.5	4.5	6.06	80.0	0.992	11.0
-47.5	2.5	4.81	87.4	0.958	10.5
-48.5	3.0	6.12	87.1	1.005	11.0
-49.5	4.0	4.56	80.0	0.978	11.0
-50.5	6.0	4.81	81.8	1.005	11.0
-51.5	3.5	5.12	78.6	1.002	11.0
-52.5	5.0	5.56	85.3	0.998	11.0
-53.5	5.0	4.44	81.8	0.982	11.0
-54.5	5.0	5.31	77.9	0.995	10.5
-55.5	2.0	4.31	85.0	0.938	11.0
-56.5	3.5	5.12	83.6	0.995	10.5
-57.5	4.5	5.12	85.3	0.965	11.0
-58.5	4.0	4.19	78.6	0.955	11.0
-59.5	4.5	4.94	80.4	0.985	11.0
-60.5	5.0	4.12	77.2	1.002	11.5
-61.5	4.5	3.94	73.0	0.978	11.5
-62.5	5.0	3.88	79.3	0.985	11.5
-63.5	3.0	3.31	81.1	0.952	11.5
-64.5	4.0	3.69	80.4	0.985	12.0
-65.5	2.5	3.94	77.9	0.972	11.5
-66.5	4.0	4.50	80.0	0.988	11.0
-67.5	3.0	5.12	75.5	0.958	11.5
-68.5	2.5	4.00	69.1	0.985	12.0
-69.5	4.5	3.31	73.7	0.982	12.0
-70.5	3.0	3.56	81.4	0.968	12.0
-71.5	1.0	3.00	86.4	0.955	11.5
-72.5	1.0	2.94	72.3	0.932	12.0
-73.5	6.0	3.25	74.4	0.988	12.0
-74.5	5.0	3.19	74.4	0.988	12.0
-75.5	1.5	2.81	76.2	0.995	12.5
-76.5	2.0	3.06	78.6	0.988	12.0
-77.5	3.0	3.25	78.6	0.992	12.5
-78.5	-0.5	3.31	71.2	0.975	12.0
-79.5	-3.0	1.62	81.4	0.915	12.0
-80.5	-0.5	3.31	72.3	0.965	12.5
-81.5	-4.5	1.56	82.5	0.898	12.0
-82.5	-4.5	1.25	90.3	0.998	12.0
-83.5	-3.5	2.25	74.8	0.985	12.0
-84.5	0.5	2.12	69.8	0.982	12.5
-85.5	-4.0	3.00	74.8	0.975	12.5
-86.5	-3.0	1.88	75.8	0.952	11.5
-87.5	-1.5	1.00	75.5	0.965	12.0
-88.5	0.0	0.19	76.2	0.975	12.0
-89.5	-1.0	0.81	68.1	0.982	12.0
-90.5	-1.0	2.12	63.1	0.968	12.0
-91.5	3.0	1.56	79.0	0.992	12.0
-92.5	1.5	1.62	76.2	0.995	12.0
-93.5	0.0	1.81	71.6	0.975	11.5
-94.5	-2.5	2.00	73.0	0.962	11.5
-95.5	-1.5	1.94	69.1	0.965	11.5
-96.5	0.0	0.00	0.0	0.000	0.0
-97.5	-4.5	1.25	65.6	1.018	11.5
-98.5	0.0	0.00	0.0	0.000	0.0
-99.5	-3.5	1.69	72.3	0.992	11.0
-100.5	0.0	0.00	0.0	0.000	0.0
-101.5	-1.5	1.94	74.4	1.045	10.0
-102.5	-4.5	-0.12	65.6	1.002	10.0
-103.5	0.0	0.00	0.0	0.000	0.0
-104.5	-5.0	1.94	61.4	0.898	10.0
-105.5	0.0	0.00	0.0	0.000	0.0
-106.5	-2.0	0.88	65.6	0.968	10.0
-107.5	-2.5	0.94	75.1	0.968	10.0
-108.5	-3.5	1.38	65.2	0.898	10.0
-109.5	-4.0	0.25	65.6	0.958	9.5
-110.5	-1.0	1.56	63.5	0.902	7.5
-111.5	-2.5	1.88	62.8	0.925	9.5
